ID     Ref      Name                       C_key   Type   RA               DEC              Vel       B_mag    V_mag    J_mag    K_mag    Teff   logg   M/H     Vmic   Simbad_Identifier                    Fe/H     Mg/H    
------ -------- -------------------------- ------- ------ ---------------- ---------------- --------- -------- -------- -------- -------- ------ ------ ------- ------ ------------------------------------ -------- --------
1      AOK09    S10-14                     *       RG     10_13_34.7       -2_7_57.9        233.86    *        17.64    *        15.08    4620   1.2    -2.7    2.2    [AAS2009]_S_10-14                    -2.71    -2.83   
2      AOK09    S11-37                     *       RG     10_13_45.48      -1_56_16.3       221.79    *        17.96    *        15.34    4560   1.3    -2.9    2.2    [AAS2009]_S_11-37                    -2.89    -2.93   
3      AOK09    S12-28                     *       RG     10_11_17.15      -2_0_24          201.96    *        17.52    *        14.91    4570   1.4    -2.8    2.7    [AAS2009]_S_12-28                    -2.8     -2.7    
4      AOK09    S14-98                     *       RG     10_13_24.48      -2_12_3.5        220.7     *        18.06    *        15.61    4730   1.1    -2.7    2.8    [AAS2009]_S_14-98                    -2.72    -2.82   
5      AOK09    S15-19                     *       RG     10_11_26.96      -2_5_41.6        226.05    *        17.54    *        14.98    4620   1.2    -3.1    2.6    [AAS2009]_S_15-19                    -3.15    -2.74   
6      COH09    Draco3053                  *       RG     17_19_35.45      57_58_46.6       -282.6    18.286   17.303   15.274   14.468   4350   1      -1.73   2.1    [BFO2002]_Dra_50027                  -1.78    -1.79   
7      SHE01    Draco11                    *       RG     17_20_5.67       57_57_52.7       -284.28   18.82    17.469   15.506   14.682   4475   0.8    -1.72   1.8    [BS61]_11                            -1.7     -1.67   
8      FUL04    Draco119                   *       RG     17_20_16.11      57_52_56         *         18.62    17.421   15.561   14.854   4440   0.88   -2.95   2.4    [BS61]_119                           -2.93    -2.43   
9      SHE01    Draco119                   *       RG     17_20_16.11      57_52_56         *         18.62    17.421   15.561   14.854   4370   0.15   -2.97   2.8    [BS61]_119                           -2.95    -2.79   
10     SHE01    Draco24                    *       RG     17_19_58.89      57_57_20.9       *         18.37    17.07    14.876   14.155   4290   0.8    -2.36   2      [BS61]_24                            -2.34    -2.12   
11     SHE01    Draco267                   *       RG     17_19_44.73      57_57_37         *         18.53    16.972   14.742   13.89    4180   0.6    -1.67   1.95   [BS61]_267                           -1.65    -1.73   
